Text block,Page,Edits
"Transmission / CH-01
WAN dark
sttn.room, only in the room
SIGNAL THROUGH THE NOISE
Human music is worth protecting.
How a night works",https://www.sttn.fm/,
"01 / Human
Human expression has value.
Human expression has intrinsic value.",https://www.sttn.fm/,
"Presence
You have to be there.
The night stays in the room.",https://www.sttn.fm/,
"Discovery
Discovery by listening.
Walk in. Stand still. Listen.",https://www.sttn.fm/,
"The room
The night is the point.
What happens here stays on the box.",https://www.sttn.fm/,
"02 / The box
One machine for the room.
The room holds what the night makes. Look. Print. Leave the file.
More about the box →",https://www.sttn.fm/,
"03 / Join
The Commitment to Human Music.
Sign the commitment",https://www.sttn.fm/,
"STTN keeps the disk for the room.
www.sttn.fm",https://www.sttn.fm/,
"Mission / Manifesto
Human music is worth protecting.
Rooms where the night is the point.",https://www.sttn.fm/mission.html,
"STTN is a series of rooms where the night is the point. We use machines on our terms.
Human expression has intrinsic value.
Discovery still happens the slow way: walking into a room, standing still, listening.
Presence
You have to be there. The night stays in the room.
How a night works",https://www.sttn.fm/mission.html,
"You had to be in the room.
www.sttn.fm",https://www.sttn.fm/mission.html,
"Venue gear / The box
The box travels with STTN.
In the room it becomes the network. One machine. Closed box.",https://www.sttn.fm/the-box.html,
"Part of the room.
Like the PA, the lights, the door. Phones join it. Nothing routes out.
WAN unplugged. A visible status: closed. If the lamp is dark, the night is lying.",https://www.sttn.fm/the-box.html,
"Floor
Tonight's wall.
Look. Print. Photographs from tonight's wall.",https://www.sttn.fm/the-box.html,
"Artists
A drop for the room.
Stills and sound that stay here. The set stays on the box.",https://www.sttn.fm/the-box.html,
"Print
The sanctioned way out is paper.
You take an object. The file stays. If you want it again, you come back.",https://www.sttn.fm/the-box.html,
"The contract
01 A night in the room.
02 A wall of photographs.
03 Paper you can hold.
04 An archive opened only in a room.
05 Scarcity you can touch.
The scarcity is physical: you had to be in the room.",https://www.sttn.fm/the-box.html,
"Fallback on the card: http://10.0.0.1
www.sttn.fm",https://www.sttn.fm/the-box.html,
"Presence / Nights
You have to be there.
The night stays in the room.",https://www.sttn.fm/nights.html,
"Night rundown
Box on. WAN dark.
The lamp is lit. WAN stays dark.",https://www.sttn.fm/nights.html,
"Tonight starts.
One night. One folder. That is what you see.",https://www.sttn.fm/nights.html,
"The door is a card.
SSID and a short address. Join the room network.",https://www.sttn.fm/nights.html,
"Phones join the room.
Upload. Look. Print. Listen, if artists left sound.",https://www.sttn.fm/nights.html,
"Paper at the station.
You leave with paper from the station.",https://www.sttn.fm/nights.html,
"Pack-out.
Power off. The disk stays with STTN.",https://www.sttn.fm/nights.html,
"If you want it again
Come back.
Join the commitment",https://www.sttn.fm/nights.html,
"Each night is its own folder.
www.sttn.fm",https://www.sttn.fm/nights.html,
"Signup / Commitment
The Commitment to Human Music.
It transforms attendance into participation. You're joining something.",https://www.sttn.fm/join.html,
"That something is small on purpose. Almost secretive. A network that is part of the room, like the PA, the lights, the door.
When a room opens near you, you'll hear.",https://www.sttn.fm/join.html,
"Name
Email
City
I will be in the room. The night stays here.
Sign the commitment
Mock signup. Nothing leaves this page. The real list lives with STTN.",https://www.sttn.fm/join.html,
"Received
See you in the room, friend.
You're on the list. If you want it again, you come back.
How a night works",https://www.sttn.fm/join.html,
"Attendance is participation.
www.sttn.fm",https://www.sttn.fm/join.html,
"Signal Through The Noise
Closed box
Home / Mission / The Box / Nights / Join
Skip to signal
Menu",https://www.sttn.fm/,
Meta description: Human music is worth protecting. Real rooms. You have to be there.,https://www.sttn.fm/,
Meta description: Human expression has intrinsic value. Human music is worth protecting.,https://www.sttn.fm/mission.html,
Meta description: One machine for the room. The file stays. Paper is the sanctioned copy.,https://www.sttn.fm/the-box.html,
Meta description: How an STTN night works. You have to be there. The night stays in the room.,https://www.sttn.fm/nights.html,
Meta description: Sign the Commitment to Human Music. Attendance is participation.,https://www.sttn.fm/join.html,
